"id","qa","questionType"
"90","{""answer"": ""全国半导体业的深交所企业数量"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""广东省"", ""行业"": ""半导体业"", ""民营企业_深交所企业数量"": ""18 ""}}, {""行业"": {""行业名称"": ""半导体业""}}, {""产业指标数据"": {""行业"": ""半导体业"", ""深交所企业数量"": ""61 ""}}], ""question"": ""2022年广东省半导体业的民营企业_深交所企业数量与全国半导体业的深交所企业数量相比，哪个更多？"", ""reference"": [{""ragDistrictIndustryData"": ""4e5494a2-c0e7-4e31-a2ba-540b2abcf794""}, {""ragCountryIndustryData"": ""c6c62a37-7d79-4959-9891-195fcadfbb02""}]}","combination:地区产业指标数据-行业-产业指标数据"
"91","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""交通运输、仓储和邮政业"", ""企业总数"": ""1 ""}}, {""行业"": {""行业名称"": ""交通运输、仓储和邮政业""}}, {""产业指标数据"": {""行业"": ""交通运输、仓储和邮政业"", ""中央国有企业_深交所企业数量"": ""5 ""}}], ""question"": ""2022年吉林省交通运输、仓储和邮政业的企业总数与全国该行业中中央国有企业在深交所上市的数量相比，哪个更多？"", ""reference"": [{""ragDistrictIndustryData"": ""73d46d5c-7faa-481a-b05a-bd1688f3b472""}, {""ragCountryIndustryData"": ""c5e98e13-e208-406f-aa43-9e029e2c4de6""}]}","combination:地区产业指标数据-行业-产业指标数据"
"92","{""answer"": ""全国该行业的情况"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""交通运输、仓储和邮政业"", ""政府奖励资金或补贴最大值"": ""1244449.8 元""}}, {""行业"": {""行业名称"": ""交通运输、仓储和邮政业""}}, {""产业指标数据"": {""行业"": ""交通运输、仓储和邮政业"", ""政府奖励资金或补贴最大值"": ""4688008342 元""}}], ""question"": ""2022年吉林省交通运输、仓储和邮政业的政府奖励资金或补贴最大值与全国该行业的同一指标相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""73d46d5c-7faa-481a-b05a-bd1688f3b472""}, {""ragCountryIndustryData"": ""c5e98e13-e208-406f-aa43-9e029e2c4de6""}]}","combination:地区产业指标数据-行业-产业指标数据"
"93","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""建筑业""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业的企业总数与建筑业相比，哪个更多？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""7ce8065a-1f12-4137-a29f-4c4c60a31e44""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"94","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""企业总数"": ""0 ""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""建筑业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年西藏自治区在电力、热力、燃气及水生产和供应业的企业总数与建筑业相比，是否有差异？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""7ce8065a-1f12-4137-a29f-4c4c60a31e44""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"95","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""企业总数"": ""0 ""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""租赁和商务服务业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业的企业总数与租赁和商务服务业相比，哪个更多？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""0e9da0e4-0204-41ab-b90c-e92983120b7c""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"96","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""租赁和商务服务业""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业与租赁和商务服务业在企业总数上是否有差异？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""0e9da0e4-0204-41ab-b90c-e92983120b7c""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"97","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""商业电气机械和器材制造业""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业与商业电气机械和器材制造业相比，哪个行业的企业总数更多？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""aa3787d1-ec43-4243-ab22-72afa293068b""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"98","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""企业总数"": ""0 ""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""商业电气机械和器材制造业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业的企业总数与商业电气机械和器材制造业相比，是否有差异？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""aa3787d1-ec43-4243-ab22-72afa293068b""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"99","{""answer"": ""是"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""企业总数"": ""0 ""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""金属制品业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年西藏自治区电力、热力、燃气及水生产和供应业的企业总数与金属制品业相比，数量是否相同？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""fe9ea1bf-ccc2-42a0-a9d1-1240d3e24000""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"100","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""金属制品业""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业与金属制品业相比，哪个行业的企业总数更多？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""fe9ea1bf-ccc2-42a0-a9d1-1240d3e24000""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"101","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""通用设备制造业""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业与通用设备制造业在企业总数上有什么区别？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""b673d26a-c5dd-45f6-99ee-61d9d90bb07c""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"102","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""企业总数"": ""0 ""}}, {""省份"": {""省份名称"": ""西藏自治区""}}, {""地区产业指标数据"": {""省份"": ""西藏自治区"", ""行业"": ""通用设备制造业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年西藏自治区的电力、热力、燃气及水生产和供应业的企业总数与通用设备制造业相比，哪个行业的企业总数更多？"", ""reference"": [{""ragDistrictIndustryData"": ""6cfae52b-5907-4f04-bbae-fe07d0314711""}, {""ragDistrictIndustryData"": ""b673d26a-c5dd-45f6-99ee-61d9d90bb07c""}]}","combination:地区产业指标数据-省份-地区产业指标数据"
"103","{""answer"": ""吉林省的企业总数"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""化学原料和化学制品制造业"", ""企业总数"": ""1 ""}}, {""行业"": {""行业名称"": ""化学原料和化学制品制造业""}}, {""地区产业指标数据"": {""省份"": ""青海省"", ""行业"": ""化学原料和化学制品制造业"", ""上交所企业数量"": ""1 ""}}], ""question"": ""2022年吉林省化学原料和化学制品制造业的企业总数与青海省同行业的上交所企业数量相比，哪个更多？"", ""reference"": [{""ragDistrictIndustryData"": ""f24fc7c6-6169-41bb-9ad0-f5a00950662d""}, {""ragDistrictIndustryData"": ""6f976482-4bdd-4b06-a4ef-24f45ec2b096""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"104","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""化学原料和化学制品制造业"", ""民营企业_深交所企业数量"": ""1 ""}}, {""行业"": {""行业名称"": ""化学原料和化学制品制造业""}}, {""地区产业指标数据"": {""省份"": ""青海省"", ""行业"": ""化学原料和化学制品制造业"", ""地方国有企业_上交所企业数量"": ""1 ""}}], ""question"": ""2022年吉林省化学原料和化学制品制造业的民营企业深交所企业数量与青海省同行业的地方国有企业上交所企业数量相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""f24fc7c6-6169-41bb-9ad0-f5a00950662d""}, {""ragDistrictIndustryData"": ""6f976482-4bdd-4b06-a4ef-24f45ec2b096""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"105","{""answer"": ""广东省的上交所企业数量"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""广东省"", ""行业"": ""文教、工美、体育和娱乐用品制造业"", ""上交所企业数量"": ""1 ""}}, {""行业"": {""行业名称"": ""文教、工美、体育和娱乐用品制造业""}}, {""地区产业指标数据"": {""省份"": ""江西省"", ""行业"": ""文教、工美、体育和娱乐用品制造业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年广东省文教、工美、体育和娱乐用品制造业的上交所企业数量与江西省同行业的企业总数相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""04b0bc5e-0dd0-404e-9635-08fa5a38be4f""}, {""ragDistrictIndustryData"": ""f03bec36-dde7-4d92-abb5-4833f1bf61db""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"106","{""answer"": ""广东省的地方国有企业_深交所企业数量"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""广东省"", ""行业"": ""文教、工美、体育和娱乐用品制造业"", ""地方国有企业_深交所企业数量"": ""1 ""}}, {""行业"": {""行业名称"": ""文教、工美、体育和娱乐用品制造业""}}, {""地区产业指标数据"": {""省份"": ""江西省"", ""行业"": ""文教、工美、体育和娱乐用品制造业"", ""企业总数"": ""0 ""}}], ""question"": ""2022年广东省文教、工美、体育和娱乐用品制造业的地方国有企业在深交所的企业数量与江西省同行业的企业总数相比，哪个更多？"", ""reference"": [{""ragDistrictIndustryData"": ""04b0bc5e-0dd0-404e-9635-08fa5a38be4f""}, {""ragDistrictIndustryData"": ""f03bec36-dde7-4d92-abb5-4833f1bf61db""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"107","{""answer"": ""北京市的资本化研发投入合计"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""北京市"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""资本化研发投入合计"": ""836592837.9 元""}}, {""行业"": {""行业名称"": ""电力、热力、燃气及水生产和供应业""}}, {""地区产业指标数据"": {""省份"": ""安徽省"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""资本化研发投入合计"": ""0 元""}}], ""question"": ""2022年北京市电力、热力、燃气及水生产和供应业的资本化研发投入合计与安徽省同行业的资本化研发投入合计相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""f3575fb2-db86-4928-8108-61bf93b4a7fb""}, {""ragDistrictIndustryData"": ""0b7e9da0-3dd5-4889-84cb-418c02a311e6""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"108","{""answer"": ""北京市的"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""北京市"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""营业利润金额均值"": ""3881976322.43444 元""}}, {""行业"": {""行业名称"": ""电力、热力、燃气及水生产和供应业""}}, {""地区产业指标数据"": {""省份"": ""安徽省"", ""行业"": ""电力、热力、燃气及水生产和供应业"", ""营业利润金额均值"": ""567136384.2 元""}}], ""question"": ""2022年北京市电力、热力、燃气及水生产和供应业的营业利润金额均值与安徽省同行业的营业利润金额均值相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""f3575fb2-db86-4928-8108-61bf93b4a7fb""}, {""ragDistrictIndustryData"": ""0b7e9da0-3dd5-4889-84cb-418c02a311e6""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"109","{""answer"": ""广东省的"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""水利、环境和公共设施管理业"", ""雇员同比增减幅最大值"": ""12.78 %""}}, {""行业"": {""行业名称"": ""水利、环境和公共设施管理业""}}, {""地区产业指标数据"": {""省份"": ""广东省"", ""行业"": ""水利、环境和公共设施管理业"", ""雇员同比增减幅最大值"": ""29.56 %""}}], ""question"": ""2022年吉林省水利、环境和公共设施管理业的雇员同比增减幅最大值与广东省同行业的雇员同比增减幅最大值相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""278348b3-a6d9-4493-8a02-437472f69ca4""}, {""ragDistrictIndustryData"": ""0e750378-8b90-47a3-8828-1b5f5ea324da""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"110","{""answer"": ""广东省"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""水利、环境和公共设施管理业"", ""政府奖励资金或补贴均值"": ""46170354.335 元""}}, {""行业"": {""行业名称"": ""水利、环境和公共设施管理业""}}, {""地区产业指标数据"": {""省份"": ""广东省"", ""行业"": ""水利、环境和公共设施管理业"", ""政府奖励资金或补贴均值"": ""26024055.3161538 元""}}], ""question"": ""2022年吉林省水利、环境和公共设施管理业的政府奖励资金或补贴均值与广东省同行业的相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""278348b3-a6d9-4493-8a02-437472f69ca4""}, {""ragDistrictIndustryData"": ""0e750378-8b90-47a3-8828-1b5f5ea324da""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"111","{""answer"": 0.0, ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""石油加工、炼焦和核燃料加工业"", ""净利润金额均值"": ""0 元""}}, {""行业"": {""行业名称"": ""石油加工、炼焦和核燃料加工业""}}, {""地区产业指标数据"": {""省份"": ""新疆维吾尔自治区"", ""行业"": ""石油加工、炼焦和核燃料加工业"", ""净利润金额均值"": ""0 元""}}], ""question"": ""2022年吉林省的石油加工、炼焦和核燃料加工业净利润金额均值与新疆维吾尔自治区同行业的净利润金额均值相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""4b3f72ad-ca2e-4e4a-9f57-6c2ca75fd374""}, {""ragDistrictIndustryData"": ""bdb752fb-d068-4df6-a617-41ae6fddfcfe""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"112","{""answer"": ""相等"", ""evidence"": [{""地区产业指标数据"": {""省份"": ""吉林省"", ""行业"": ""石油加工、炼焦和核燃料加工业"", ""资本化研发投入均值"": ""0 元""}}, {""行业"": {""行业名称"": ""石油加工、炼焦和核燃料加工业""}}, {""地区产业指标数据"": {""省份"": ""新疆维吾尔自治区"", ""行业"": ""石油加工、炼焦和核燃料加工业"", ""资本化研发投入均值"": ""0 元""}}], ""question"": ""2022年吉林省石油加工、炼焦和核燃料加工业的资本化研发投入均值与新疆维吾尔自治区同行业的资本化研发投入均值相比，哪个更高？"", ""reference"": [{""ragDistrictIndustryData"": ""4b3f72ad-ca2e-4e4a-9f57-6c2ca75fd374""}, {""ragDistrictIndustryData"": ""bdb752fb-d068-4df6-a617-41ae6fddfcfe""}]}","combination:地区产业指标数据-行业-地区产业指标数据"
"113","{""answer"": ""纺织鞋服业"", ""evidence"": [{""产业指标数据"": {""行业"": ""石油加工、炼焦和核燃料加工业"", ""中央国有企业_港交所企业数量"": ""2 ""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""纺织鞋服业"", ""纺织鞋服业企业数量"": ""177 ""}}], ""question"": ""2022年中国石油加工、炼焦和核燃料加工业在港交所的中央国有企业数量与纺织鞋服业的企业总数相比，哪个更多？"", ""reference"": [{""ragCountryIndustryData"": ""655b2fa1-a92d-49c6-9093-92c5a222ba75""}, {""ragCountryIndustryData"": ""84366a3d-230e-40ab-9da7-166ad7ac948a""}]}","combination:产业指标数据-产业指标数据"
"114","{""answer"": ""纺织鞋服业"", ""evidence"": [{""产业指标数据"": {""行业"": ""石油加工、炼焦和核燃料加工业"", ""民营企业_上交所企业数量"": ""4 ""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""纺织鞋服业"", ""纺织鞋服业企业数量"": ""177 ""}}], ""question"": ""2022年中国石油加工、炼焦和核燃料加工业的民营企业上交所企业数量与纺织鞋服业的企业数量相比，哪个更多？"", ""reference"": [{""ragCountryIndustryData"": ""655b2fa1-a92d-49c6-9093-92c5a222ba75""}, {""ragCountryIndustryData"": ""84366a3d-230e-40ab-9da7-166ad7ac948a""}]}","combination:产业指标数据-产业指标数据"
"115","{""answer"": ""住宿和餐饮业"", ""evidence"": [{""产业指标数据"": {""行业"": ""住宿和餐饮业"", ""累计PCT发明专利申请数中位数"": ""0 件""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""房地产业"", ""累计PCT发明专利申请数中位数"": ""2 件""}}], ""question"": ""2022年中国住宿和餐饮业的累计PCT发明专利申请数中位数与房地产业相比，哪个更低？"", ""reference"": [{""ragCountryIndustryData"": ""9f31ba81-0925-47ba-93e1-fdd88dd6c638""}, {""ragCountryIndustryData"": ""27f2a242-57e9-4b4a-b933-e02981cf17d2""}]}","combination:产业指标数据-产业指标数据"
"116","{""answer"": ""相等"", ""evidence"": [{""产业指标数据"": {""行业"": ""住宿和餐饮业"", ""国家技术发明奖中位数"": ""0 个""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""房地产业"", ""国家技术发明奖中位数"": ""0 个""}}], ""question"": ""2022年中国住宿和餐饮业的国家技术发明奖中位数与房地产业相比，哪个更高？"", ""reference"": [{""ragCountryIndustryData"": ""9f31ba81-0925-47ba-93e1-fdd88dd6c638""}, {""ragCountryIndustryData"": ""27f2a242-57e9-4b4a-b933-e02981cf17d2""}]}","combination:产业指标数据-产业指标数据"
"117","{""answer"": ""金属冶炼和压延加工业"", ""evidence"": [{""产业指标数据"": {""行业"": ""汽车制造业"", ""中外合资经营企业_港交所企业数量"": ""2 ""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""金属冶炼和压延加工业"", ""中央国有企业_港交所企业数量"": ""6 ""}}], ""question"": ""2022年中国汽车制造业的中外合资经营企业_港交所企业数量与金属冶炼和压延加工业的中央国有企业_港交所企业数量相比，哪个更多？"", ""reference"": [{""ragCountryIndustryData"": ""253f34de-05e4-42e4-959f-746cedefc598""}, {""ragCountryIndustryData"": ""e12e3329-0ab1-4bf1-b19d-0a5c9610b5ce""}]}","combination:产业指标数据-产业指标数据"
"118","{""answer"": 1.0, ""evidence"": [{""产业指标数据"": {""行业"": ""汽车制造业"", ""累计中国发明专利申请数最小值"": ""2 件""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""金属冶炼和压延加工业"", ""累计中国发明专利申请数最小值"": ""1 件""}}], ""question"": ""2022年中国汽车制造业的累计中国发明专利申请数最小值与金属冶炼和压延加工业相比，哪个更低？"", ""reference"": [{""ragCountryIndustryData"": ""253f34de-05e4-42e4-959f-746cedefc598""}, {""ragCountryIndustryData"": ""e12e3329-0ab1-4bf1-b19d-0a5c9610b5ce""}]}","combination:产业指标数据-产业指标数据"
"119","{""answer"": ""采矿业"", ""evidence"": [{""产业指标数据"": {""行业"": ""采矿业"", ""省或部级技术发明奖中位数"": ""4 个""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""信息传输、软件和信息技术服务业"", ""省或部级技术发明奖中位数"": ""1 个""}}], ""question"": ""2022年中国采矿业的省或部级技术发明奖中位数与信息传输、软件和信息技术服务业相比，哪个更高？"", ""reference"": [{""ragCountryIndustryData"": ""19d2c6ff-9692-4352-b20c-7b820720317a""}, {""ragCountryIndustryData"": ""52cd1497-bff9-43db-b3a1-001e4cac545c""}]}","combination:产业指标数据-产业指标数据"
"120","{""answer"": ""采矿业的企业数量"", ""evidence"": [{""产业指标数据"": {""行业"": ""采矿业"", ""采矿业企业数量"": ""143 ""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""信息传输、软件和信息技术服务业"", ""地方国有企业_深交所企业数量"": ""26 ""}}], ""question"": ""2022年中国采矿业的企业数量与信息传输、软件和信息技术服务业的地方国有企业在深交所的企业数量相比，哪个更多？"", ""reference"": [{""ragCountryIndustryData"": ""19d2c6ff-9692-4352-b20c-7b820720317a""}, {""ragCountryIndustryData"": ""52cd1497-bff9-43db-b3a1-001e4cac545c""}]}","combination:产业指标数据-产业指标数据"
"121","{""answer"": ""非金属矿物制品业"", ""evidence"": [{""产业指标数据"": {""行业"": ""非金属矿物制品业"", ""民营企业_深交所企业数量"": ""36 ""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""文教、工美、体育和娱乐用品制造业"", ""民营企业_上交所企业数量"": ""5 ""}}], ""question"": ""2022年中国非金属矿物制品业的民营企业在深交所上市的企业数量与文教、工美、体育和娱乐用品制造业的民营企业在上交所上市的企业数量相比，哪个更多？"", ""reference"": [{""ragCountryIndustryData"": ""be3c0164-12b0-4453-8c7a-e198721d914b""}, {""ragCountryIndustryData"": ""cf5aa639-7c24-475d-be3b-7b10669c525f""}]}","combination:产业指标数据-产业指标数据"
"122","{""answer"": ""文教、工美、体育和娱乐用品制造业"", ""evidence"": [{""产业指标数据"": {""行业"": ""非金属矿物制品业"", ""中央国有企业_深交所企业数量"": ""7 ""}}, {""国家"": {""国家名称"": ""中国""}}, {""产业指标数据"": {""行业"": ""文教、工美、体育和娱乐用品制造业"", ""港交所企业数量"": ""14 ""}}], ""question"": ""2022年中国非金属矿物制品业的中央国有企业在深交所的企业数量与文教、工美、体育和娱乐用品制造业在港交所的企业数量相比，哪个更多？"", ""reference"": [{""ragCountryIndustryData"": ""be3c0164-12b0-4453-8c7a-e198721d914b""}, {""ragCountryIndustryData"": ""cf5aa639-7c24-475d-be3b-7b10669c525f""}]}","combination:产业指标数据-产业指标数据"
